Matchday,Date,Home,Away,FullTime,HalfTime,Penalties
Group A,1986-05-31,Bulgaria,Italy,1-1,0-1,
Group C,1986-06-01,Canada,France,0-1,0-0,
Group D,1986-06-01,Spain,Brazil,0-1,0-0,
Group C,1986-06-02,Soviet Union,Hungary,6-0,3-0,
Group A,1986-06-02,Argentina,Korea Republic,3-1,2-0,
Group F,1986-06-02,Morocco,Poland,0-0,0-0,
Group D,1986-06-03,Algeria,Northern Ireland,1-1,0-1,
Group B,1986-06-03,Belgium,Mexico,1-2,1-2,
Group F,1986-06-03,Portugal,England,1-0,0-0,
Group B,1986-06-04,Paraguay,Iraq,1-0,1-0,
Group E,1986-06-04,Scotland,Denmark,0-1,0-0,
Group E,1986-06-04,Uruguay,Germany FR,1-1,1-0,
Group A,1986-06-05,Italy,Argentina,1-1,1-1,
Group C,1986-06-05,France,Soviet Union,1-1,0-0,
Group A,1986-06-05,Korea Republic,Bulgaria,1-1,0-1,
Group C,1986-06-06,Hungary,Canada,2-0,1-0,
Group D,1986-06-06,Brazil,Algeria,1-0,0-0,
Group F,1986-06-06,England,Morocco,0-0,0-0,
Group D,1986-06-07,Northern Ireland,Spain,1-2,0-2,
Group B,1986-06-07,Mexico,Paraguay,1-1,1-0,
Group F,1986-06-07,Poland,Portugal,1-0,0-0,
Group B,1986-06-08,Iraq,Belgium,1-2,0-2,
Group E,1986-06-08,Denmark,Uruguay,6-1,2-1,
Group E,1986-06-08,Germany FR,Scotland,2-1,1-1,
Group C,1986-06-09,Hungary,France,0-3,0-1,
Group C,1986-06-09,Soviet Union,Canada,2-0,0-0,
Group A,1986-06-10,Korea Republic,Italy,2-3,0-1,
Group A,1986-06-10,Argentina,Bulgaria,2-0,1-0,
Group B,1986-06-11,Paraguay,Belgium,2-2,0-1,
Group B,1986-06-11,Iraq,Mexico,0-1,0-0,
Group F,1986-06-11,Portugal,Morocco,1-3,0-2,
Group F,1986-06-11,England,Poland,3-0,3-0,
Group D,1986-06-12,Northern Ireland,Brazil,0-3,0-2,
Group D,1986-06-12,Algeria,Spain,0-3,0-1,
Group E,1986-06-13,Scotland,Uruguay,0-0,0-0,
Group E,1986-06-13,Denmark,Germany FR,2-0,1-0,
Round of 16,1986-06-15,Soviet Union,Belgium,3-4,0-0,
Round of 16,1986-06-15,Mexico,Bulgaria,2-0,1-0,
Round of 16,1986-06-16,Argentina,Uruguay,1-0,1-0,
Round of 16,1986-06-16,Brazil,Poland,4-0,1-0,
Round of 16,1986-06-17,Italy,France,0-2,0-1,
Round of 16,1986-06-17,Morocco,Germany FR,0-1,0-0,
Round of 16,1986-06-18,England,Paraguay,3-0,1-0,
Round of 16,1986-06-18,Denmark,Spain,1-5,1-1,
Quarter-finals,1986-06-21,Brazil,France,1-1,0-0,3-4
Quarter-finals,1986-06-21,Germany FR,Mexico,0-0,0-0,4-1
Quarter-finals,1986-06-22,Spain,Belgium,1-1,0-0,4-5
Quarter-finals,1986-06-22,Argentina,England,2-1,0-0,
Semi-finals,1986-06-25,France,Germany FR,0-2,0-1,
Semi-finals,1986-06-25,Argentina,Belgium,2-0,0-0,
Match for third place,1986-06-28,France,Belgium,4-2,0-0,
Final,1986-06-29,Argentina,Germany FR,3-2,1-0,
