Matchday,Date,Home,Away,FullTime,HalfTime
1,2025-08-22,FC Bayern München,RB Leipzig,6-0,3-0
1,2025-08-23,Eintracht Frankfurt,SV Werder Bremen,4-1,2-0
1,2025-08-23,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,1-2,1-1
1,2025-08-23,SC Freiburg,FC Augsburg,1-3,0-3
1,2025-08-23,1. FC Union Berlin,VfB Stuttgart,2-1,2-0
1,2025-08-23,1. FC Heidenheim 1846,VfL Wolfsburg,1-3,1-1
1,2025-08-23,FC St. Pauli 1910,Borussia Dortmund,3-3,0-1
1,2025-08-24,1. FSV Mainz 05,1. FC Köln,0-1,0-0
1,2025-08-24,Borussia Mönchengladbach,Hamburger SV,0-0,
2,2025-08-29,Hamburger SV,FC St. Pauli 1910,0-2,0-1
2,2025-08-30,RB Leipzig,1. FC Heidenheim 1846,2-0,0-0
2,2025-08-30,SV Werder Bremen,Bayer 04 Leverkusen,3-3,1-2
2,2025-08-30,VfB Stuttgart,Borussia Mönchengladbach,1-0,0-0
2,2025-08-30,TSG 1899 Hoffenheim,Eintracht Frankfurt,1-3,0-2
2,2025-08-30,FC Augsburg,FC Bayern München,2-3,0-2
2,2025-08-31,VfL Wolfsburg,1. FSV Mainz 05,1-1,1-0
2,2025-08-31,Borussia Dortmund,1. FC Union Berlin,3-0,1-0
2,2025-08-31,1. FC Köln,SC Freiburg,4-1,1-0
3,2025-09-12,Bayer 04 Leverkusen,Eintracht Frankfurt,3-1,2-0
3,2025-09-13,SC Freiburg,VfB Stuttgart,3-1,0-1
3,2025-09-13,1. FSV Mainz 05,RB Leipzig,0-1,0-1
3,2025-09-13,VfL Wolfsburg,1. FC Köln,3-3,1-1
3,2025-09-13,1. FC Union Berlin,TSG 1899 Hoffenheim,2-4,0-2
3,2025-09-13,1. FC Heidenheim 1846,Borussia Dortmund,0-2,0-2
3,2025-09-13,FC Bayern München,Hamburger SV,5-0,4-0
3,2025-09-14,FC St. Pauli 1910,FC Augsburg,2-1,1-1
3,2025-09-14,Borussia Mönchengladbach,SV Werder Bremen,0-4,0-2
4,2025-09-19,VfB Stuttgart,FC St. Pauli 1910,2-0,1-0
4,2025-09-20,SV Werder Bremen,SC Freiburg,0-3,0-1
4,2025-09-20,FC Augsburg,1. FSV Mainz 05,1-4,0-2
4,2025-09-20,TSG 1899 Hoffenheim,FC Bayern München,1-4,0-1
4,2025-09-20,Hamburger SV,1. FC Heidenheim 1846,2-1,1-0
4,2025-09-20,RB Leipzig,1. FC Köln,3-1,3-1
4,2025-09-21,Eintracht Frankfurt,1. FC Union Berlin,3-4,1-2
4,2025-09-21,Bayer 04 Leverkusen,Borussia Mönchengladbach,1-1,0-0
4,2025-09-21,Borussia Dortmund,VfL Wolfsburg,1-0,1-0
5,2025-09-26,FC Bayern München,SV Werder Bremen,4-0,2-0
5,2025-09-27,1. FSV Mainz 05,Borussia Dortmund,0-2,0-2
5,2025-09-27,VfL Wolfsburg,RB Leipzig,0-1,0-1
5,2025-09-27,FC St. Pauli 1910,Bayer 04 Leverkusen,1-2,1-1
5,2025-09-27,1. FC Heidenheim 1846,FC Augsburg,2-1,0-0
5,2025-09-27,Borussia Mönchengladbach,Eintracht Frankfurt,4-6,0-5
5,2025-09-28,SC Freiburg,TSG 1899 Hoffenheim,1-1,1-1
5,2025-09-28,1. FC Köln,VfB Stuttgart,1-2,1-1
5,2025-09-28,1. FC Union Berlin,Hamburger SV,0-0,
6,2025-10-03,TSG 1899 Hoffenheim,1. FC Köln,0-1,0-1
6,2025-10-04,Bayer 04 Leverkusen,1. FC Union Berlin,2-0,1-0
6,2025-10-04,Borussia Dortmund,RB Leipzig,1-1,1-1
6,2025-10-04,SV Werder Bremen,FC St. Pauli 1910,1-0,1-0
6,2025-10-04,FC Augsburg,VfL Wolfsburg,3-1,1-0
6,2025-10-04,Eintracht Frankfurt,FC Bayern München,0-3,0-2
6,2025-10-05,VfB Stuttgart,1. FC Heidenheim 1846,1-0,0-0
6,2025-10-05,Hamburger SV,1. FSV Mainz 05,4-0,2-0
6,2025-10-05,Borussia Mönchengladbach,SC Freiburg,0-0,
7,2025-10-17,1. FC Union Berlin,Borussia Mönchengladbach,3-1,2-1
7,2025-10-18,1. FSV Mainz 05,Bayer 04 Leverkusen,3-4,1-3
7,2025-10-18,RB Leipzig,Hamburger SV,2-1,1-0
7,2025-10-18,VfL Wolfsburg,VfB Stuttgart,0-3,0-1
7,2025-10-18,1. FC Heidenheim 1846,SV Werder Bremen,2-2,0-0
7,2025-10-18,1. FC Köln,FC Augsburg,1-1,0-0
7,2025-10-18,FC Bayern München,Borussia Dortmund,2-1,1-0
7,2025-10-19,SC Freiburg,Eintracht Frankfurt,2-2,1-2
7,2025-10-19,FC St. Pauli 1910,TSG 1899 Hoffenheim,0-3,0-0
8,2025-10-24,SV Werder Bremen,1. FC Union Berlin,1-0,0-0
8,2025-10-25,Eintracht Frankfurt,FC St. Pauli 1910,2-0,1-0
8,2025-10-25,FC Augsburg,RB Leipzig,0-6,0-4
